place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJrYA91GxblmsRbc-4ziTJgHM,Ramsey Plumbing & Construction,"37 Old Wyreema Rd, Drayton QLD 4350, Australia",0449 819 619,http://www.ramseyplumbing.com.au/,,Plumber,5,3,-27.6083835,151.8900587,2026-02-03T19:55:53.852100
ChIJ__8jHydnlmsRMSU-4zq5eQM,Tpm Plumbing Services,"10367 New England Hwy, Gowrie Junction QLD 4352, Australia",,,,Plumber,5,1,-27.4566138,151.9654531,2026-02-03T19:55:54.209987
ChIJfZ0pAbFdlmsRipZWcCEfrag,GTS Plumbers,"9 Rose St, Wilsonton QLD 4350, Australia",0404 734 705,http://www.gtsplumbers.com.au/,,Plumber,4.6,18,-27.5519734,151.925798,2026-02-03T19:55:54.690653
ChIJAxKbTxVblmsR--_QpFpY43I,RAH Plumbing and Gas,"513 South St, Harristown QLD 4350, Australia",0406 565 447,https://www.rahplumbingandgas.com/,,Plumber,4.7,15,-27.5724342,151.9149433,2026-02-03T19:55:55.090731
ChIJM3bnWj1blmsRLmusUw5twY0,Luke's Plumbing & Gas,"33 Gwynne St, Drayton QLD 4350, Australia",0417 792 006,https://www.lukesplumbingandgas.com.au/,,Plumber,5,3,-27.608081,151.9108001,2026-02-03T19:56:09.235453
ChIJbdNxjmtclmsRR4aed1nYu6U,HC Plumbing,"12 Progress Ct, Harlaxton QLD 4350, Australia",0439 648 390,https://www.plumbingtoowoomba.com.au/,,Plumber,4.8,34,-27.5335131,151.9545648,2026-02-03T19:56:09.746860
ChIJ3-w4rXRclmsR4q-R4EAn-tI,"Aj's Plumbing, Gas & Earthworks","595 South St, Glenvale QLD 4350, Australia",(07) 4646 2535,http://www.ajsplumbingandgas.com.au/,,Plumber,4.7,66,-27.5714688,151.906906,2026-02-03T19:56:10.106826
ChIJbdNxjmtclmsRG8z05FHj0kg,Nicholas Wilshire Plumbing Pty Ltd,"Shed 6/44 Jones St, Harlaxton QLD 4350, Australia",(07) 4638 0015,https://www.nicholaswilshireplumbing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Plumber,4.1,8,-27.5397273,151.9483261,2026-02-03T19:56:10.474245
ChIJQyFamQNclmsR_cyD84xfaj0,Plumbers Toowoomba,"132 South St, Centenary Heights QLD 4350, Australia",(07) 4277 7980,https://plumberstoowoomba.com.au/,,Plumber,4,9,-27.5807123,151.966,2026-02-03T19:56:10.971582
ChIJ2d-ptHtclmsRBQ1gbFNVchQ,O'Brien Plumbing Toowoomba,"21 Diagonal St, Toowoomba City QLD 4350, Australia",(07) 4632 3935,https://www.obrien.com.au/members/plumbing-toowoomba/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=member-toowoomba&utm_content=plumbing,,Plumber,4.4,20,-27.5715397,151.9435052,2026-02-03T19:56:11.479590
