place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,ricky.smith@realway.com.au,Point Of Interest,4.7,384,-27.557105,151.95364,2026-02-03T11:31:53.328965
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,jordan.c@ngurealestate.com.au,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-03T11:31:53.780979
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-03T11:31:54.153883
ChIJ-6aDqxRclmsRkHMEyFweHqE,LJ Hooker Toowoomba,"Level 1 / 677/683 Ruthven St, South Toowoomba QLD 4350, Australia",(07) 4688 2222,https://toowoomba.ljhooker.com.au/?utm_content=LJ+Hooker+Toowoomba+-+South+Toowoomba&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_15584249641654263614,toowoomba@ljht.com.au,Real Estate Agency,4.3,163,-27.5730966,151.950895,2026-02-03T11:31:54.520061
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",0448 171 823,https://www.successrealty.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,Real Estate Agency,3.8,63,-27.561912,151.938077,2026-02-03T11:31:54.905058
ChIJAQAAAMBElmsRMLsoJOKA6Iw,Toowoomba City Realty,"1/111 Campbell St, Toowoomba City QLD 4350, Australia",(07) 4632 8899,http://toowoombacityrealty.com.au/,,Real Estate Agency,3.9,69,-27.5555987,151.9561688,2026-02-03T11:31:55.359531
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,223,-27.5684453,151.9568984,2026-02-03T11:31:55.732800
ChIJY8Zb1W1clmsRayXGe-RujyM,Toowoomba Property First National Real Estate,"611 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4595 1155,http://www.toowoombaproperty.au/,,Point Of Interest,4.6,411,-27.567284,151.952074,2026-02-03T11:31:56.135942
ChIJAzoxIW1clmsRool1u6z-sSI,Elders Real Estate Toowoomba,"5/618 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4633 6500,http://www.elderstoowoomba.com.au/,trevor.leishman@elders.com.au,Real Estate Agency,4.2,122,-27.5670126,151.9524823,2026-02-03T11:31:56.563646
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,brendan@goodre.com.au,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-03T11:31:56.925136
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-03T11:31:57.308821
ChIJO7K5M3lclmsRaoyGFUZKCWM,York Realty,"346 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4613 6777,http://www.yorkrealty.com.au/,rob@yorkrealty.com.au,Real Estate Agency,4.4,72,-27.55826,151.954018,2026-02-03T11:31:57.677498
ChIJ2cxBMWpclmsRl47zga9Pg_M,Tomoro,"353 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4580 0811,https://tomoro.com.au/,tye@tomoro.com.au,Real Estate Agency,4.5,97,-27.5592421,151.9534953,2026-02-03T11:31:58.073708
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",(07) 4688 9700,https://abraagencies.com.au/,rentals@abraagencies.com.au,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-03T11:31:58.495078
ChIJOSrLa2pclmsRYEUrdAvBf7U,Crestmont Realty Group,"7/190 Margaret St, Toowoomba City QLD 4350, Australia",0455 150 990,http://www.crestmont.com.au/,emma@crestmont.com.au,Finance,5,2,-27.5612436,151.9540764,2026-02-03T11:31:58.853815
ChIJv4eW_HFclmsRe-jCAKgYc98,Century 21 The Garden City,"16 Clifford St, Toowoomba City QLD 4350, Australia",(07) 4633 8899,https://toowoomba.century21.com.au/,hellotoowoomba@century21.com.au,Point Of Interest,4.2,166,-27.561753,151.9474295,2026-02-03T11:31:59.339332
ChIJn_JCJKNdlmsRBdjEC3iuM1A,Jane & Henry Pty Ltd,"18 Harvey St, Mount Lofty QLD 4350, Australia",(07) 4600 1210,http://www.janeandhenry.com/,,Real Estate Agency,5,67,-27.5428502,151.9781434,2026-02-03T11:31:59.763196
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,j.bloggs@gmail.com,Real Estate Agency,4.6,392,-27.5646611,151.9532952,2026-02-03T11:32:00.141812
ChIJtcODpK9dlmsRiK308n1ZVso,Reilly Real Estate,"Southtown Shopping Centre, Shop 2A, 148 South St, Centenary Heights QLD 4350, Australia",(07) 4602 9976,https://www.reillyre.com.au/,input@keyup.enter,Real Estate Agency,5,59,-27.5804954,151.9639636,2026-02-03T11:32:00.495191
ChIJGTSjCm9clmsR06n54AW7kJY,Residence Estate Agents,"123 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4646 2517,https://residenceestateagents.com.au/,,Real Estate Agency,4.9,36,-27.5612586,151.9574916,2026-02-03T11:32:00.945776
