place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJF4I5EYZclmsRePIvdVJvX84,BIG W Clifford Gardens,"Corner of Anzac Street and, James St, Toowoomba City QLD 4350, Australia",1300 411 875,https://www.bigw.com.au/store/0260/BIG-W-Clifford-Gardens,,Department Store,4.3,971,-27.564818,151.9323485,2026-02-14T23:06:55.758540
ChIJi2yH4ZBblmsRkFJiYvLuAA8,Kmart Toowoomba Plaza,"Toowoomba Plaza S/C Cnr Ruthven &, Stenner St, Kearneys Spring QLD 4350, Australia",(07) 4687 0100,https://www.kmart.com.au/store-detail/Kmart+Toowoomba+Plaza?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+toowoomba+plaza,,Department Store,4.2,1566,-27.5951272,151.9487141,2026-02-14T23:06:56.277279
ChIJH5Em35JclmsR8WA5tS1L54M,Wyalla Plaza,"Newtown QLD 4350, Australia",,,,Shopping Mall,4.2,936,-27.553289,151.9201763,2026-02-14T23:06:57.216605
ChIJhYLZx5xblmsRLNilsSGc8fA,Westridge Shopping Centre,"Westridge Shopping Centre, 300 West St, Kearneys Spring QLD 4350, Australia",(07) 4659 7875,https://www.westridgeshoppingcentre.com.au/,,Shopping Mall,4.4,677,-27.5891792,151.9389229,2026-02-14T23:06:57.603378
ChIJrWH0AXddlmsRLXFZzqpy6XE,Prices Plus Toowoomba,"Shop 7/227-231 James St, Toowoomba City QLD 4350, Australia",(07) 4599 7900,https://www.pricesplus.com.au/,,Store,4.4,10,-27.5671075,151.946737,2026-02-14T23:06:58.053612
ChIJm1jTFPBclmsREN7cwQPiiZk,Wilsonton Shopping Centre,"407 Bridge St, Wilsonton QLD 4350, Australia",(07) 4633 1137,https://wilsontonshopping.com.au/,,Shopping Mall,4,1608,-27.544213,151.9253984,2026-02-14T23:06:58.444749
ChIJ76ZkQdddlmsRjlHg9f7I4NM,OMGosh Wyalla Plaza,"Cnr with, Shop 2, 238 Taylor st, Wyalla St, Newtown QLD 4350, Australia",0404 660 305,https://www.omgoshwyalla.com.au/,,Store,3.4,40,-27.552962,151.919846,2026-02-14T23:06:59.393743
ChIJcfm9k-pblmsRCxUquF0h2Tw,Spar Express Middle Ridge,"3 158/156 Spring St, Middle Ridge QLD 4350, Australia",(07) 4636 0199,,,Convenience Store,3.8,28,-27.6026537,151.9597964,2026-02-14T23:07:00.327430
ChIJh8ZdaWtclmsRGgZswYXrq8c,Officeworks Toowoomba,"183/187 West St, Harristown QLD 4350, Australia",(07) 4699 5300,https://www.officeworks.com.au/shop/officeworks/storelocator,,Store,3.7,422,-27.5677327,151.9415802,2026-02-14T23:07:01.208277
ChIJ-foWq2ZblmsRIAmx8vNu0T8,Choice Discount Store Kearneys Spring,"471 Hume St, Kearneys Spring QLD 4350, Australia",(07) 4613 4531,http://www.choicediscountvariety.com.au/,,Supermarket,4.4,127,-27.5980453,151.9502306,2026-02-14T23:07:02.098444
ChIJD3zqx5xblmsR-aQZrUWcdBs,SPAR Westridge,"8/300 West St, Kearneys Spring QLD 4350, Australia",(07) 4635 6891,http://www.spar.com.au/,,Convenience Store,4,44,-27.5893318,151.9386544,2026-02-14T23:07:02.483178
ChIJl_Y5nadblmsRWESluVstDn8,SPAR express Uni Plaza,"462 West St, Toowoomba City QLD 4350, Australia",(07) 4630 2911,http://www.spar.com.au/,,Convenience Store,4,50,-27.6072158,151.9357047,2026-02-14T23:07:02.867489
ChIJa9_TR8RdlmsRaFl6DtCFX44,SILLY SOLLYS TOOWOOMBA,"481 Ruthven St, Toowoomba City QLD 4350, Australia",0422 906 460,http://sillysollys.com.au/,,Store,4.6,83,-27.562366,151.9529343,2026-02-14T23:07:03.308285
ChIJbfwAkAhdlmsRjZP7fBfuwuM,Madhouse discount variety,"Shop 22, high street shopping centre, High St, Rangeville QLD 4350, Australia",,http://facebook.com/Madhouse-Discount-Variety-Toowoomba-247857645549932,,Store,5,3,-27.5863168,151.9788172,2026-02-14T23:07:03.820391
ChIJh4XmaHpdlmsRBOh67L9um_Y,GS Grocery Store,"3/137-141 Glenvale Rd, Glenvale QLD 4350, Australia",0421 945 421,,,Grocery Or Supermarket,4.4,56,-27.5640354,151.9148644,2026-02-14T23:07:04.175387
ChIJoZLLcWpclmsR7tq6ajFoygs,Toowoomba Plaza,"878 Ruthven St, Kearneys Spring QLD 4350, Australia",(07) 4636 1896,http://www.toowoombaplaza.com.au/,,Shopping Mall,4.2,1748,-27.5949439,151.9488639,2026-02-14T23:07:05.034529
ChIJeRJyI0FclmsRbYSP9L50BMk,The Source Bulk Foods Toowoomba,"292 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4528 2118,https://toowoomba.thesourcebulkfoods.com.au/,,Grocery Or Supermarket,4.8,120,-27.5552978,151.954461,2026-02-14T23:07:05.420286
ChIJM3iZZJFblmsR0wBW9kuKqq0,The Ridge Shoppingworld,"445-455 Hume St, Kearneys Spring QLD 4350, Australia",(07) 4636 1896,http://www.theridgeshoppingworld.com.au/,,Shopping Mall,4.2,1086,-27.5949702,151.951285,2026-02-14T23:07:06.225037
ChIJ7RebAGlclmsRcGqXIIoosGg,Kmart Toowoomba Grand Central,"Cnr Margaret &, Grand Central Shopping Centre, Dent St, Toowoomba City QLD 4350, Australia",(07) 4659 4100,https://www.kmart.com.au/store-detail/Kmart+Toowoomba+Grand+Central?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+toowoomba+grand+central,,Department Store,4.2,1028,-27.5619745,151.9518305,2026-02-14T23:07:07.110430
ChIJ46OCmFhclmsRaYUkcp3vPM4,Store 309,"309 Bridge St, Newtown QLD 4350, Australia",(07) 4634 4188,https://www.ozfoodhunter.com.au/store-309,,Convenience Store,4.3,37,-27.5487123,151.9350697,2026-02-14T23:07:07.489956
ChIJ_bvf14hblmsR4UKBghPG6k8,Shell Reddy Express Toowoomba Ruthven Street,"798 RUTHVEN ST (CNR, Alderley St, Kearneys Spring QLD 4350, Australia",(07) 4602 3867,https://www.reddyexpress.com.au/stores?utm_source=gmb&utm_medium=yext&utm_campaign=2142,,Convenience Store,4.2,84,-27.5855007,151.9496045,2026-02-14T23:07:09.116739
