place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJOw3XUmtclmsRY_lOUI4vxbs,Toowoomba Dental,"117 Herries St, Toowoomba City QLD 4350, Australia",(07) 4646 4236,http://www.toowoombadental.com.au/,admin@toowoombadental.com.au,Dentist,4.9,136,-27.565235,151.957932,2026-02-23T19:18:08.795718
ChIJazjvFP1dlmsRVvdnRPADWUY,The Forever Dental & Smile Centre,"18 Herries St, East Toowoomba QLD 4350, Australia",(07) 4599 3399,https://foreverdentaltoowoomba.com.au/,admin@foreverdentaltoowoomba.com.au,Health,5,57,-27.5677143,151.9719137,2026-02-23T19:18:09.616527
ChIJmwsk7QpdlmsRsYoMhJ__AJ8,Dental Direct,"100-124 Anzac Ave, Newtown QLD 4350, Australia",(07) 4580 2622,http://www.dental-direct.com.au/,,Health,4.9,36,-27.5647929,151.9331941,2026-02-23T19:18:09.967642
ChIJPywHP1ZclmsRFadLoAMMLtc,Garden City Dental Practice,"45 Holberton St, Rockville QLD 4350, Australia",(07) 4634 0664,https://www.gardencitydentalpractice.com.au/?utm_source=gmb&utm_medium=organic,,Dentist,4.8,108,-27.5409177,151.9359595,2026-02-23T19:18:10.342736
ChIJhzovJPBclmsRn1dUanmk14E,1300SMILES Dentists Toowoomba,"362B Bridge St, Wilsonton QLD 4350, Australia",(07) 4634 5300,https://www.1300smiles.com.au/locations/toowoomba/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_listing&utm_term=toowoomba,toowoomba@1300smiles.com.au,Health,4.7,362,-27.5440396,151.9231914,2026-02-23T19:18:10.682310
ChIJiVQtlKxblmsRUl8B1fgacYI,Middle Ridge Family Dental,"shop 3/343 MacKenzie St, Middle Ridge QLD 4350, Australia",(07) 4659 7347,https://middleridgefamilydental.com.au/,reception@middleridgefamilydental.com.au,Dentist,5,94,-27.5972121,151.9687812,2026-02-23T19:18:11.044883
ChIJNUkJr5BblmsRUxEc-ciOeLI,Seven Springs Dental,"881 Ruthven St, Kearneys Spring QLD 4350, Australia",(07) 4635 3965,https://www.toowoombadentalpractice.com.au/?utm_source=gmb&utm_medium=organic,,Dentist,4.8,52,-27.5950696,151.9469035,2026-02-23T19:18:11.390085
ChIJ3aknnktclmsR0_XXdQSjK8E,Qld Family Dental Northpoint,"24/125 Ruthven St, Harlaxton QLD 4350, Australia",(07) 4518 3384,https://www.qldfamilydentalcentres.com.au/qld-family-dental-northpoint/?utm_campaign=gmb,seo@smileandgrow.com.au,Dentist,4.9,260,-27.5412853,151.9528972,2026-02-23T19:18:11.743094
ChIJM93fKvBblmsRo7ZIm5ePZIw,Southside Dental Toowoomba,"Shop 17/445-455 Hume St, Kearneys Spring QLD 4350, Australia",(07) 4635 1444,https://www.sdtoowoomba.com.au/,info@juiceito.com,Dentist,4.9,244,-27.5949702,151.951285,2026-02-23T19:18:12.094383
ChIJL5bFYchdlmsRa-4D2DxasBo,Qld Family Dental Wilsonton,"351 Tor St, Wilsonton QLD 4350, Australia",(07) 4518 3384,https://www.qldfamilydentalcentres.com.au/qld-family-dental-wilsonton/?utm_campaign=gmb,seo@smileandgrow.com.au,Dentist,5,62,-27.549341,151.9297308,2026-02-23T19:18:12.475709
ChIJnT_isBdblmsRqyz8r4RWZOc,Gentle Dental Drayton | Toowoomba Dentist,"56-58 Brisbane St, Drayton QLD 4350, Australia",(07) 4637 2802,https://www.gentledentaltoowoomba.com.au/,,Dentist,4.8,176,-27.6022113,151.9130735,2026-02-23T19:18:12.821574
