place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-03T11:51:48.479993
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-03T11:51:48.881299
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,,Point Of Interest,4.7,384,-27.557105,151.95364,2026-02-03T11:51:49.400374
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,223,-27.5684453,151.9568984,2026-02-03T11:51:49.879412
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",0448 171 823,https://www.successrealty.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,Real Estate Agency,3.8,63,-27.561912,151.938077,2026-02-03T11:51:50.237934
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-03T11:51:50.598012
ChIJBWyV0OtdlmsRy66IQcVPzkU,Wagner/De Silva - Toowoomba Real Estate Agents,"111 Herries St, East Toowoomba QLD 4350, Australia",0421 875 477,https://wagnerdesilva.com.au/,,Point Of Interest,5,1,-27.5652843,151.958292,2026-02-03T11:51:50.981778
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,,Real Estate Agency,4.6,392,-27.5646611,151.9532952,2026-02-03T11:51:51.456849
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-03T11:51:51.840902
ChIJ9ceTzO5QkWsRVXI_JmrP7sI,Plum Property,"1 Swann Rd, Taringa QLD 4068, Australia",(07) 3871 1424,https://www.plum-property.com.au/,,Real Estate Agency,4.9,1484,-27.4938386,152.9775732,2026-02-03T11:51:52.305869
