place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-02T20:16:36.484168
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,,Point Of Interest,4.7,384,-27.557105,151.95364,2026-02-02T20:16:36.839693
ChIJGTSjCm9clmsR06n54AW7kJY,Residence Estate Agents,"123 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4646 2517,https://residenceestateagents.com.au/,,Real Estate Agency,4.9,36,-27.5612586,151.9574916,2026-02-02T20:16:37.195696
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-02T20:16:37.632308
ChIJAzoxIW1clmsRool1u6z-sSI,Elders Real Estate Toowoomba,"5/618 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4633 6500,http://www.elderstoowoomba.com.au/,,Real Estate Agency,4.2,122,-27.5670126,151.9524823,2026-02-02T20:16:38.050077
ChIJ-6aDqxRclmsRkHMEyFweHqE,LJ Hooker Toowoomba,"Level 1 / 677/683 Ruthven St, South Toowoomba QLD 4350, Australia",(07) 4688 2222,https://toowoomba.ljhooker.com.au/?utm_content=LJ+Hooker+Toowoomba+-+South+Toowoomba&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_15584249641654263614,,Real Estate Agency,4.3,163,-27.5730966,151.950895,2026-02-02T20:16:38.394322
ChIJY8Zb1W1clmsRayXGe-RujyM,Toowoomba Property First National Real Estate,"611 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4595 1155,http://www.toowoombaproperty.au/,,Point Of Interest,4.6,411,-27.567284,151.952074,2026-02-02T20:16:38.759897
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",(07) 4688 9700,https://abraagencies.com.au/,,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-02T20:16:39.101165
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-02T20:16:39.529182
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,,Real Estate Agency,4.6,392,-27.5646611,151.9532952,2026-02-02T20:16:40.149567
ChIJv4eW_HFclmsRe-jCAKgYc98,Century 21 The Garden City,"16 Clifford St, Toowoomba City QLD 4350, Australia",(07) 4633 8899,https://toowoomba.century21.com.au/,,Point Of Interest,4.2,166,-27.561753,151.9474295,2026-02-02T20:16:40.496854
