place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJmwsk7QpdlmsRsYoMhJ__AJ8,Dental Direct,"100-124 Anzac Ave, Newtown QLD 4350, Australia",(07) 4580 2622,http://www.dental-direct.com.au/,,Health,4.9,36,-27.5647929,151.9331941,2026-02-23T18:53:51.012869
ChIJazjvFP1dlmsRVvdnRPADWUY,The Forever Dental & Smile Centre,"18 Herries St, East Toowoomba QLD 4350, Australia",(07) 4599 3399,https://foreverdentaltoowoomba.com.au/,admin@foreverdentaltoowoomba.com.au,Health,5,57,-27.5677143,151.9719137,2026-02-23T18:53:51.402165
ChIJnT_isBdblmsRqyz8r4RWZOc,Gentle Dental Drayton | Toowoomba Dentist,"56-58 Brisbane St, Drayton QLD 4350, Australia",(07) 4637 2802,https://www.gentledentaltoowoomba.com.au/,,Dentist,4.8,176,-27.6022113,151.9130735,2026-02-23T18:53:51.755808
ChIJ4eW-PydFlmsR472sw7nvXEw,Westbrook Family Dental,"2/85 Main St, Westbrook QLD 4350, Australia",(07) 4529 7477,https://westbrookdental.com.au/,info@westbrookdental.com.au,Dentist,4.8,67,-27.6074384,151.8715816,2026-02-23T18:53:52.102217
ChIJM93fKvBblmsRo7ZIm5ePZIw,Southside Dental Toowoomba,"Shop 17/445-455 Hume St, Kearneys Spring QLD 4350, Australia",(07) 4635 1444,https://www.sdtoowoomba.com.au/,info@juiceito.com,Dentist,4.9,244,-27.5949702,151.951285,2026-02-23T18:53:52.460344
ChIJNUkJr5BblmsRUxEc-ciOeLI,Seven Springs Dental,"881 Ruthven St, Kearneys Spring QLD 4350, Australia",(07) 4635 3965,https://www.toowoombadentalpractice.com.au/?utm_source=gmb&utm_medium=organic,,Dentist,4.8,52,-27.5950696,151.9469035,2026-02-23T18:53:52.809832
ChIJOw3XUmtclmsRY_lOUI4vxbs,Toowoomba Dental,"117 Herries St, Toowoomba City QLD 4350, Australia",(07) 4646 4236,http://www.toowoombadental.com.au/,admin@toowoombadental.com.au,Dentist,4.9,136,-27.565235,151.957932,2026-02-23T18:53:53.150977
ChIJwQGzG4ZclmsRknUX5va7yLQ,The Avenue Dental,"Shop 7/131 Anzac Ave, Newtown QLD 4350, Australia",(07) 4634 1133,https://theavenuedental.com.au/?utm_source=google&utm_medium=gbp&utm_campaign=newtown,info@theavenuedental.com.au,Health,4.2,43,-27.5652922,151.9297029,2026-02-23T18:53:53.516588
ChIJMbjhy2RclmsROVei08j0w6k,Primary Dental Toowoomba,"James St &, West St, Toowoomba City QLD 4350, Australia",(07) 4642 2030,https://www.primarydental.com.au/dental-centre/toowoomba/,toowoombadental@forhealth.com.au,Dentist,4.8,57,-27.566976,151.942825,2026-02-23T18:53:53.853851
ChIJ3aknnktclmsR0_XXdQSjK8E,Qld Family Dental Northpoint,"24/125 Ruthven St, Harlaxton QLD 4350, Australia",(07) 4518 3384,https://www.qldfamilydentalcentres.com.au/qld-family-dental-northpoint/?utm_campaign=gmb,seo@smileandgrow.com.au,Dentist,4.9,260,-27.5412853,151.9528972,2026-02-23T18:53:54.212436
ChIJPywHP1ZclmsRFadLoAMMLtc,Garden City Dental Practice,"45 Holberton St, Rockville QLD 4350, Australia",(07) 4634 0664,https://www.gardencitydentalpractice.com.au/?utm_source=gmb&utm_medium=organic,,Dentist,4.8,108,-27.5409177,151.9359595,2026-02-23T18:53:54.558952
ChIJtxbMrW1clmsR4juAHh-602c,National Dental Care Toowoomba,"96 Neil St, Toowoomba City QLD 4350, Australia",(07) 4632 5622,https://www.nationaldentalcare.com.au/toowoomba,media@nationaldentalcare.com.au,Dentist,4.6,74,-27.5681199,151.9546101,2026-02-23T18:53:54.896716
ChIJRXRuyJxblmsR3EA9wKvlPOI,Qld Family Dental Westridge (Westridge Dental),"Shop 24/300 West St, Kearneys Spring QLD 4350, Australia",(07) 4518 3384,https://www.qldfamilydentalcentres.com.au/qld-family-dental-westridge/?utm_campaign=gmb,seo@smileandgrow.com.au,Dentist,4.5,35,-27.5895142,151.939116,2026-02-23T18:53:55.243440
ChIJ9_d7tYBdlmsRC918G9wf_P8,Toowoomba Specialist Dental,"Medici Centre, Suite 108/15 Scott St, East Toowoomba QLD 4350, Australia",(07) 4639 4229,https://toowoombaspecialistdental.com.au/,hello@toowoombaspecialistdental.com.au,Health,5,55,-27.5653992,151.9728831,2026-02-23T18:53:55.592772
ChIJoWLWIWxclmsRTN3hRhGoJdM,Kunde Dental,"575 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4566 1021,https://kundedental.com.au/,,Dentist,4.9,50,-27.5647355,151.9333901,2026-02-23T18:53:55.940202
ChIJiVQtlKxblmsRUl8B1fgacYI,Middle Ridge Family Dental,"shop 3/343 MacKenzie St, Middle Ridge QLD 4350, Australia",(07) 4659 7347,https://middleridgefamilydental.com.au/,reception@middleridgefamilydental.com.au,Dentist,5,94,-27.5972121,151.9687812,2026-02-23T18:53:56.291400
ChIJhzovJPBclmsRn1dUanmk14E,1300SMILES Dentists Toowoomba,"362B Bridge St, Wilsonton QLD 4350, Australia",(07) 4634 5300,https://www.1300smiles.com.au/locations/toowoomba/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_listing&utm_term=toowoomba,toowoomba@1300smiles.com.au,Health,4.7,362,-27.5440396,151.9231914,2026-02-23T18:53:57.118327
ChIJmSZnOmhclmsR9FmP7AmyXPc,Pure Dental Toowoomba,"11 Isabel St, Toowoomba City QLD 4350, Australia",(07) 4646 2512,https://www.puredentaltoowoomba.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home,reception@puredentaltoowoomba.com.au,Dentist,4.9,96,-27.5592103,151.948366,2026-02-23T18:53:57.450035
ChIJjeDAw2dclmsRVY0VF4vuo4A,Access Dental Services,"8 Cecil St, Toowoomba City QLD 4350, Australia",(07) 4638 2744,https://www.accessdentalservices.com.au/?utm_source=gmb&utm_medium=organic,,Dentist,4.7,90,-27.5591048,151.9452655,2026-02-23T18:53:57.788649
ChIJe6MeaWhclmsRBfuvuyn7s_8,Withers Dental,"305A Margaret St, Toowoomba City QLD 4350, Australia",(07) 4659 9477,https://withersdental.com.au/?utm_source=google&utm_medium=gmb,reception@withersdental.com.au,Dentist,4.8,55,-27.5599093,151.9474449,2026-02-23T18:53:58.122566
