place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ1SJplfC1lmsRQU_bELVqnaQ,Price Real Estate,"Yamanto QLD 4305, Australia",0400 743 401,http://pricerealestate.com.au/,,Real Estate Agency,4.7,15,-27.6582008,152.7454997,2026-02-03T09:35:44.084828
ChIJPQAs5x3LlmsRepfWQFv1EQc,ASSETT REALTY - Leading Real Estate Agency Ipswich Brisbane,"627 Ripley Rd, Ripley QLD 4306, Australia",0410 525 632,https://www.assettrealty.com.au/,,Real Estate Agency,4.6,153,-27.6801912,152.7949176,2026-02-03T09:35:44.453963
ChIJDwhnmhwzsY8R6M8H2mBloM8,Revolution Property Group,"Shop 24/64 Raceview St, Raceview QLD 4305, Australia",(07) 3143 0737,http://revolutionpropertygroup.co/,,Real Estate Agency,4.9,69,-27.6349168,152.7749345,2026-02-03T09:35:44.814022
ChIJYXkOqIq1lmsR057--yPzyeI,CENTURY 21 Josie Smith & Co,"38 Limestone St, Ipswich QLD 4305, Australia",(07) 2112 7999,https://ipswich.century21.com.au/,,Real Estate Agency,5,283,-27.616236,152.7619111,2026-02-03T09:35:45.301881
ChIJmw1sGUsMnGsRbeQiLidja-A,PropertyNow,"18 Dorothy St, Silkstone QLD 4304, Australia",1300 664 773,http://propertynow.com.au/?utm_source=referrer-gmb&utm_medium=gmb&utm_campaign=local-seo,,Real Estate Agency,4.3,112,-27.6195771,152.797592,2026-02-03T09:35:45.685857
ChIJx6m23kO0lmsR1aXTvv5SXq0,Switch Realty,"83 Brisbane Rd, Newtown QLD 4305, Australia",(07) 3202 3877,http://www.switchrealty.com.au/,,Real Estate Agency,4.2,62,-27.613651,152.782017,2026-02-03T09:35:46.033724
ChIJ6Y-Po8VmkWsRTu2Qrw7Mky8,Dodds Realty Group - Ipswich,"11 William St, Blackstone QLD 4305, Australia",(07) 3485 0031,http://www.dodds.realestate/,,Real Estate Agency,4.9,101,-27.6249352,152.8074468,2026-02-03T09:35:46.398701
ChIJAVyUPXxLkWsRTkwQbb_7Z7k,Action Realty,"32 Collingwood Dr, Collingwood Park QLD 4301, Australia",(07) 3288 5553,http://actionrealty-cp.com.au,,Real Estate Agency,3.9,46,-27.6078036,152.8664703,2026-02-03T09:35:46.851231
ChIJVVVl3vO0lmsRCMrdwbdxkSU,MOD Realty,"134 Brisbane Rd, Booval QLD 4304, Australia",(07) 3171 2111,http://modrealty.com.au/,,Real Estate Agency,4.2,68,-27.6137946,152.7869216,2026-02-03T09:35:47.218540
ChIJt5R6sUa0lmsRHmtElK3Qh3Q,Crowne Real Estate,"Shop 7b, Riverlink Shopping Centre, 7b Downs St, North Ipswich QLD 4305, Australia",(07) 3288 8411,http://www.crownerealestate.com.au/,,Real Estate Agency,4.8,499,-27.6091383,152.7609033,2026-02-03T09:35:47.593550
ChIJv-USmhG1lmsRkRJXBYH-AuM,Professionals Ipswich,"Shop 1/21 Brisbane Rd, Bundamba QLD 4304, Australia",(07) 3816 2000,http://professionalsipswich.com/,,Real Estate Agency,5,66,-27.6093339,152.8098818,2026-02-03T09:35:47.957978
ChIJwev6tmW1lmsRn3EFFSwDvIk,Image Realty Ipswich,"100 Brisbane St, Ipswich QLD 4305, Australia",1300 031 261,https://imagerealty.com.au/,,Real Estate Agency,4.2,94,-27.6145645,152.759968,2026-02-03T09:35:48.411678
ChIJBUYs3De0lmsRATmencRc1aQ,Ipswich Real Estate,"178 Brisbane St, Ipswich QLD 4305, Australia",(07) 3281 2724,https://ipswichrealestate.com.au/,,Real Estate Agency,4.7,155,-27.6146262,152.7555313,2026-02-03T09:35:48.829934
ChIJybVwBBe0lmsRkjNygHdICQM,Charles Kimmorley - Director of NGU Real Estate | The Kimmorley Group,"442 Ripley Rd, Ripley QLD 4306, Australia",0477 652 889,https://nguripley.com.au/,,Real Estate Agency,4.9,61,-27.6676825,152.7839019,2026-02-03T09:35:49.214593
ChIJlXKLMk-0lmsRUlAb7csBNHA,Raine & Horne Ipswich Real Estate Agents,"Suite 4/30 Limestone St, Ipswich QLD 4305, Australia",(07) 3812 3555,https://www.raineandhorne.com.au/ipswich?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,4.2,108,-27.6163471,152.7619498,2026-02-03T09:35:49.654624
ChIJAQBMg5G1lmsRAUoqt8Mmnbw,Full Circle Property Group,"25 Alexandra Cl, Flinders View QLD 4305, Australia",0413 189 616,http://www.fullcirclepm.com.au/,,Real Estate Agency,5,7,-27.6553803,152.7625863,2026-02-03T09:35:50.009796
ChIJz3SxfxdLkWsR8goqpBTFPo0,The Bolton Group Estate Agents,"Shop 7 & 8/6 Keidges Rd, Redbank Plains QLD 4301, Australia",(07) 2800 8518,https://theboltongroup.com.au/,,Point Of Interest,4.8,89,-27.6470357,152.8718944,2026-02-03T09:35:50.371663
ChIJZ2qhOGm0lmsRlB4LOP_nISo,Qteam Realty Ipswich,"81 Downs St, North Ipswich QLD 4305, Australia",(07) 3496 1337,http://www.qteamrealty.com.au/,,Real Estate Agency,4.8,147,-27.5994045,152.7632568,2026-02-03T09:35:50.742811
ChIJEd7tbUu0lmsRs346md3TOLU,All Local Real Estate,"54 Warwick Rd, Ipswich QLD 4305, Australia",(07) 3282 8600,https://www.alre.com.au/,,Real Estate Agency,2.7,13,-27.6229687,152.7606206,2026-02-03T09:35:51.113611
ChIJ5UqaZ1q0lmsRDawL4xScDAA,Walkers Real Estate,"Cnr Brisbane Road &, Chermside Rd, Ipswich QLD 4305, Australia",(07) 3202 4999,http://www.walkersrealestate.com.au/,,Real Estate Agency,4.4,78,-27.6147915,152.7715155,2026-02-03T09:35:51.564878
