place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-03T10:15:48.266919
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Point Of Interest,4.7,384,-27.557105,151.95364,2026-02-03T10:15:48.267659
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",,,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-03T10:15:48.268303
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",,,,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-03T10:15:48.268738
ChIJ-6aDqxRclmsRkHMEyFweHqE,LJ Hooker Toowoomba,"Level 1 / 677/683 Ruthven St, South Toowoomba QLD 4350, Australia",,,,Real Estate Agency,4.3,163,-27.5730966,151.950895,2026-02-03T10:15:48.269421
ChIJAQAAAMBElmsRMLsoJOKA6Iw,Toowoomba City Realty,"1/111 Campbell St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,3.9,69,-27.5555987,151.9561688,2026-02-03T10:15:48.269837
ChIJAzoxIW1clmsRool1u6z-sSI,Elders Real Estate Toowoomba,"5/618 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.2,122,-27.5670126,151.9524823,2026-02-03T10:15:48.270199
ChIJO7K5M3lclmsRaoyGFUZKCWM,York Realty,"346 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.4,72,-27.55826,151.954018,2026-02-03T10:15:48.270543
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",,,,Real Estate Agency,5,223,-27.5684453,151.9568984,2026-02-03T10:15:48.270786
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",,,,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-03T10:15:48.271055
ChIJtcODpK9dlmsRiK308n1ZVso,Reilly Real Estate,"Southtown Shopping Centre, Shop 2A, 148 South St, Centenary Heights QLD 4350, Australia",,,,Real Estate Agency,5,59,-27.5804954,151.9639636,2026-02-03T10:15:48.271357
ChIJGTSjCm9clmsR06n54AW7kJY,Residence Estate Agents,"123 Margaret St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.9,36,-27.5612586,151.9574916,2026-02-03T10:15:48.271707
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.6,392,-27.5646611,151.9532952,2026-02-03T10:15:48.272006
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",,,,Real Estate Agency,3.8,63,-27.561912,151.938077,2026-02-03T10:15:48.272182
ChIJv4eW_HFclmsRe-jCAKgYc98,Century 21 The Garden City,"16 Clifford St, Toowoomba City QLD 4350, Australia",,,,Point Of Interest,4.2,166,-27.561753,151.9474295,2026-02-03T10:15:48.272400
ChIJY8Zb1W1clmsRayXGe-RujyM,Toowoomba Property First National Real Estate,"611 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Point Of Interest,4.6,411,-27.567284,151.952074,2026-02-03T10:15:48.272626
ChIJ2cxBMWpclmsRl47zga9Pg_M,Tomoro,"353 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.5,97,-27.5592421,151.9534953,2026-02-03T10:15:48.272843
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",,,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-03T10:15:48.273089
ChIJA6GVD1aAEUcRs612xiMhUdg,Murphy McKellar + Co,"17 Campbell St, East Toowoomba QLD 4350, Australia",,,,Real Estate Agency,5,85,-27.5575757,151.9715565,2026-02-03T10:15:48.273255
ChIJFdvas2tclmsRao-OTfhCf2o,iThink Property Toowoomba Real Estate Agents,"482-486 Ruthven St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,4.4,150,-27.5622671,151.9533267,2026-02-03T10:15:48.273473
