place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-03T09:30:56.812520
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,,Point Of Interest,4.7,384,-27.557105,151.95364,2026-02-03T09:30:57.190523
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-03T09:30:57.623279
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,223,-27.5684453,151.9568984,2026-02-03T09:30:58.146465
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-03T09:30:58.671900
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",0448 171 823,https://www.successrealty.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,Real Estate Agency,3.8,63,-27.561912,151.938077,2026-02-03T09:30:59.196433
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-03T09:30:59.719238
ChIJFdvas2tclmsRao-OTfhCf2o,iThink Property Toowoomba Real Estate Agents,"482-486 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4602 0111,http://ithinkproperty.com.au/,,Real Estate Agency,4.4,150,-27.5622671,151.9533267,2026-02-03T09:31:00.244351
ChIJ_5tpKMldlmsRFqZzJsn-0xU,Andrew Lynch - Toowoomba Property,"611 Ruthven St, Toowoomba City QLD 4350, Australia",0418 795 792,http://www.toowoombaproperty.au/pages/real-estate/agent/24354/andrew-lynch,,Point Of Interest,5,6,-27.5672655,151.9520488,2026-02-03T09:31:00.768166
ChIJ-6aDqxRclmsRkHMEyFweHqE,LJ Hooker Toowoomba,"Level 1 / 677/683 Ruthven St, South Toowoomba QLD 4350, Australia",(07) 4688 2222,https://toowoomba.ljhooker.com.au/?utm_content=LJ+Hooker+Toowoomba+-+South+Toowoomba&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_15584249641654263614,,Real Estate Agency,4.3,163,-27.5730966,151.950895,2026-02-03T09:31:01.289625
