place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,223,-27.5684453,151.9568984,2026-02-07T22:55:03.425221
ChIJc0m3N2ZdlmsR0dw8dRqkS6I,Homesure Pty Ltd,"11 Coventry Ct, Mount Lofty QLD 4350, Australia",0408 661 454,,,Real Estate Agency,5,1,-27.5389285,151.9757773,2026-02-07T22:55:03.757262
ChIJN6Mas83ZlmsR3-Um4P1cfwk,Kalbar Real Estate,"105 George St, Kalbar QLD 4309, Australia",(07) 5463 7555,,,Real Estate Agency,5,2,-27.9382623,152.6237861,2026-02-07T22:55:04.182618
ChIJfyiSX0Mnl2sRykO1e6clP2Y,Oxbridge Scenic Real Estate,"6730 Cunningham Hwy, Aratula QLD 4309, Australia",0434 611 419,https://www.oxbridge.com.au/agents?agent_id=15206,,Real Estate Agency,4.5,8,-27.9804918,152.5491116,2026-02-07T22:55:04.988525
ChIJAQAAAMBElmsRMLsoJOKA6Iw,Toowoomba City Realty,"1/111 Campbell St, Toowoomba City QLD 4350, Australia",(07) 4632 8899,http://toowoombacityrealty.com.au/,,Real Estate Agency,3.9,69,-27.5555987,151.9561688,2026-02-07T22:55:06.863085
ChIJtcODpK9dlmsRiK308n1ZVso,Reilly Real Estate,"Southtown Shopping Centre, Shop 2A, 148 South St, Centenary Heights QLD 4350, Australia",(07) 4602 9976,https://www.reillyre.com.au/,,Real Estate Agency,5,59,-27.5804954,151.9639636,2026-02-07T22:55:07.748838
ChIJMdGtiTKnl2sRoFDnE5uByaU,Kenny & Co Realty powered by RE/MAX,"58 Herbert St, Allora QLD 4362, Australia",0417 607 196,https://www.remax.com.au/u/properties-for-sale/?agents=clint-kenny,,Real Estate Agency,5,4,-28.0344002,151.9828389,2026-02-07T22:55:08.110113
ChIJ54uRWgNnlmsRZ_Pe9xN1-PM,Jess Jones Real Estate,"Shop E/1 Plaza Cir, Highfields QLD 4352, Australia",(07) 4630 8711,https://www.jessjonesrealestate.com.au/,,Real Estate Agency,4.9,93,-27.4586163,151.9585719,2026-02-07T22:55:08.909233
ChIJ10unhKdblmsRCtbvNcEKRlE,Crest Realty,"10 Handley St, Darling Heights QLD 4350, Australia",(07) 4602 0244,,,Real Estate Agency,3.1,7,-27.6124865,151.9304808,2026-02-07T22:55:09.323145
ChIJnztJ_BOul2sR7j43sxFIZHw,Clifton Real Estate,"67 King St, Clifton QLD 4361, Australia",(07) 4612 3779,,,Real Estate Agency,3,12,-27.930569,151.9057063,2026-02-07T22:55:10.136147
ChIJ5QYlwrN9vmsRO44Wyp1jkVw,Western Edge Real Estate,"Suite 70/62 Water St S, Toowoomba City QLD 4350, Australia",(07) 3556 0125,,,Real Estate Agency,4.6,151,-27.5706847,151.9487565,2026-02-07T22:55:11.415426
ChIJm77kltBvlmsRklsommTGBbw,Goombungee Real Estate,"82 Mocatta St, Goombungee QLD 4354, Australia",(07) 4696 5336,,,Real Estate Agency,3,1,-27.3070553,151.8516749,2026-02-07T22:55:12.212040
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-07T22:55:13.541313
ChIJn_JCJKNdlmsRBdjEC3iuM1A,Jane & Henry Pty Ltd,"18 Harvey St, Mount Lofty QLD 4350, Australia",(07) 4600 1210,http://www.janeandhenry.com/,,Real Estate Agency,5,67,-27.5428502,151.9781434,2026-02-07T22:55:14.349679
ChIJObr_X-ldlmsRtdEFjT6UImM,Jen Taylor Properties,"76A Margaret St, East Toowoomba QLD 4350, Australia",(07) 4548 0433,http://www.jentaylorproperties.com.au/,,Point Of Interest,4.8,49,-27.5627387,151.9643687,2026-02-07T22:55:14.752415
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,288,-27.5745604,151.9406499,2026-02-07T22:55:16.554683
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",(07) 4688 9700,https://abraagencies.com.au/,,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-07T22:55:17.438178
ChIJGTSjCm9clmsR06n54AW7kJY,Residence Estate Agents,"123 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4646 2517,https://residenceestateagents.com.au/,,Real Estate Agency,4.9,36,-27.5612586,151.9574916,2026-02-07T22:55:17.877402
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,,Real Estate Agency,4.8,136,-27.5648153,151.960316,2026-02-07T22:55:19.613079
ChIJF3ITsPpjvWsRq9RhK_6uelY,Millmerran Real Estate,"54 Mary St, Millmerran QLD 4357, Australia",0421 572 371,https://www.facebook.com/MillmerranRealEstate,,Real Estate Agency,5,22,-27.8765777,151.2704866,2026-02-07T22:55:20.004183
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-07T22:55:20.860315
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,,Real Estate Agency,4.6,394,-27.5646611,151.9532952,2026-02-07T22:55:21.202121
ChIJYTIkbuF9lmsR3UmnOqWEXzE,All About Realestate Crows Nest,"6 Charlotte St, Crows Nest QLD 4355, Australia",0408 108 785,http://allaboutre.com.au/,,Real Estate Agency,4.1,16,-27.2614321,152.0565414,2026-02-07T22:55:21.668716
ChIJOXPRvOY0lGsRFF9RkCkH1og,Main Street Realty Blackbutt,"51e Coulson St, Blackbutt QLD 4314, Australia",(07) 4163 0355,https://www.msr.com.au/,,Real Estate Agency,4.8,85,-26.885522,152.1021721,2026-02-07T22:55:24.728476
ChIJ___bJHdblmsRt38ATQWztvI,Cooinda Properties Pty Ltd,"115 Drayton Rd, Harristown QLD 4350, Australia",,http://www.cooindaproperties.com.au/,,Real Estate Agency,5,1,-27.588624,151.929686,2026-02-07T22:55:25.067557
ChIJUaX1UK9ilmsR5klZm1Y_ckA,HAMPTON REAL ESTATE,"8616 New England Hwy, Hampton QLD 4352, Australia",(07) 4548 7602,http://www.hamptonrealty.com.au/,,Real Estate Agency,3.9,20,-27.3575319,152.068767,2026-02-07T22:55:27.673727
ChIJMxYhk9i6lmsRFbUOYdz3q-g,Owner.com.au,"Glamorgan Vale Rd, Lowood QLD 4311, Australia",1300 850 855,https://www.owner.com.au/,,Real Estate Agency,,,-27.488066,152.57162,2026-02-07T22:55:28.024369
