place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJV4dtTctElmsRMLF20ryhEcI,Westbrook Electrical,"1090 Boundary St S, Westbrook QLD 4350, Australia",,,,Electrician,4.8,4,-27.592692,151.887595,2026-02-05T00:52:31.520326
ChIJAR0NPaBblmsRo-TnFG8pVq8,Express Electrical,"673 West St, Darling Heights QLD 4350, Australia",,,,Electrician,4.9,103,-27.6164088,151.9275345,2026-02-05T00:52:31.521100
ChIJVdxAQF5clmsRVUYPKi_xr6I,ST8 WIDE ELECTRICAL Toowoomba,"27 Boothby St, Drayton QLD 4350, Australia",,,,Electrician,4.9,29,-27.5917864,151.9152805,2026-02-05T00:52:31.521545
ChIJewJ4LnHIoU8R2sMaubMthQ4,Integrated Services QLD,"Unit 3/159-161 McDougall St, Wilsonton QLD 4350, Australia",,,,Electrician,4.9,55,-27.5433817,151.9100615,2026-02-05T00:52:31.521851
ChIJjUzsWxNblmsRrA9JjAC6hgQ,OneSafe (Electrical),"57 Gipps St, Toowoomba City QLD 4350, Australia",,,,Electrician,5,2,-27.5948435,151.9173599,2026-02-05T00:52:31.522170
ChIJs9LrN3lblmsR04LbFoX-5sQ,CB Electrical Solutions,"4 Merritt St, Harristown QLD 4350, Australia",,,,Electrician,5,8,-27.5835382,151.9344869,2026-02-05T00:52:31.522474
ChIJRRWYP3RclmsRtWBFuy4VohI,Dependable Electrical,"7A Atkinson St, Toowoomba City QLD 4350, Australia",,,,Electrician,,,-27.5771378,151.9534612,2026-02-05T00:52:31.522921
ChIJPyW-2OpclmsRPOqAm1r5-aY,Paul Wiedman Electrical,"Unit 10/189 Anzac Ave, Harristown QLD 4350, Australia",,,,Electrician,5,22,-27.574193,151.927297,2026-02-05T00:52:31.523223
ChIJ9Zk7ZfFblmsRBQ7PAeOL9lA,Mackie & Co Electrical,"3 Oelkers Ct, Hodgson Vale QLD 4352, Australia",,,,Electrician,4.8,61,-27.6459364,151.9285875,2026-02-05T00:52:31.523535
ChIJQwl_4EZblmsRJuSUE-0uWbw,ALC Electrical,"Harristown QLD 4350, Australia",,,,Electrician,5,3,-27.5812805,151.9242909,2026-02-05T00:52:31.523895
ChIJVVUxgA1blmsRNUjc-tPfXdw,Voltforce Electrical Solar Air Conditioning,"9 Dexter St, South Toowoomba QLD 4350, Australia",,,,Electrician,5,230,-27.56994,151.9501883,2026-02-05T00:52:31.524363
ChIJ519l0wldlmsRsZ8Oer6KmGI,Level Electrical Toowoomba,"Shed 3/18 Rocla Ct, Glenvale QLD 4350, Australia",,,,Electrician,5,7,-27.5544953,151.9096431,2026-02-05T00:52:31.524717
ChIJ3QPzvuXjzkkRWK3yDOAncfI,Wiltec Electrical,"11 Mansford St, North Toowoomba QLD 4350, Australia",,,,Electrician,5,30,-27.5433705,151.9564739,2026-02-05T00:52:31.525062
ChIJ7U3sLgVclmsRbgVsBQUiRDk,John Gilbert Electrical,"31 Stephen St, South Toowoomba QLD 4350, Australia",,,,Electrician,5,8,-27.5729263,151.9469796,2026-02-05T00:52:31.525450
ChIJa5z6th41lmsRvNBL_yfi0wQ,Tmec Queensland,"Ruthven St, Toowoomba City QLD 4350, Australia",,,,Electrician,5,14,-27.5596978,151.9534589,2026-02-05T00:52:31.525821
ChIJAQAAAMBElmsRYwG451RFOKw,Toowoomba WireWorks Pty Ltd.,"Glenvale QLD 4350, Australia",,,,Electrician,5,4,-27.567,151.897,2026-02-05T00:52:31.526100
ChIJy-k3t0lclmsR4DvkkzYroVg,Green Electricians On The Go,"180 Ruthven St, North Toowoomba QLD 4350, Australia",,,,Electrician,5,1,-27.5459658,151.9562269,2026-02-05T00:52:31.526345
ChIJj0zsWxNblmsRiggnbrDtdCA,"Electrical Sensations - Solar, Batteries, Electrical Toowoomba","57 Gipps St, Drayton QLD 4350, Australia",,,,Electrician,5,67,-27.595553,151.9174274,2026-02-05T00:52:32.442835
ChIJuUUupldZlmsR3mozG1tlbPU,Downs Electrical Services Pty Ltd,"26 Collier St, Rangeville QLD 4350, Australia",,,,Electrician,5,4,-27.5963886,151.9841082,2026-02-05T00:52:32.459955
ChIJO5JbMrLGFiYRtcWo9j0Pngw,Impact Electricians,"15 Anthony St, Toowoomba City QLD 4350, Australia",,,,Electrician,4.9,25,-27.5562775,151.9568256,2026-02-05T00:52:32.467967
