place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,annette.neil@realway.com.au,Point Of Interest,4.7,387,-27.557105,151.95364,2026-02-13T23:03:21.946532
ChIJAzoxIW1clmsRool1u6z-sSI,Elders Real Estate Toowoomba,"5/618 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4633 6500,http://www.elderstoowoomba.com.au/,zac.turley@elders.com.au,Real Estate Agency,4.2,124,-27.5670126,151.9524823,2026-02-13T23:03:22.393819
ChIJ-6aDqxRclmsRkHMEyFweHqE,LJ Hooker Toowoomba,"Level 1 / 677/683 Ruthven St, South Toowoomba QLD 4350, Australia",(07) 4688 2222,https://toowoomba.ljhooker.com.au/?utm_content=LJ+Hooker+Toowoomba+-+South+Toowoomba&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_15584249641654263614,toowoomba@ljht.com.au,Real Estate Agency,4.3,164,-27.5730966,151.950895,2026-02-13T23:03:22.792804
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,bella.yang@ngurealestate.com.au,Real Estate Agency,4.8,137,-27.5648153,151.960316,2026-02-13T23:03:23.139831
ChIJAQAAAMBElmsRMLsoJOKA6Iw,Toowoomba City Realty,"1/111 Campbell St, Toowoomba City QLD 4350, Australia",(07) 4632 8899,http://toowoombacityrealty.com.au/,,Real Estate Agency,3.9,69,-27.5555987,151.9561688,2026-02-13T23:03:23.500815
ChIJY8Zb1W1clmsRayXGe-RujyM,Toowoomba Property First National Real Estate,"611 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4595 1155,http://www.toowoombaproperty.au/,,Point Of Interest,4.6,418,-27.567284,151.952074,2026-02-13T23:03:24.363505
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",0448 171 823,https://www.successrealty.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,Real Estate Agency,3.9,64,-27.5617338,151.9374583,2026-02-13T23:03:25.175052
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,290,-27.5745604,151.9406499,2026-02-13T23:03:26.061513
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,brendan@goodre.com.au,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-13T23:03:26.462243
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",(07) 4688 9700,https://abraagencies.com.au/,brian@abraagencies.com.au,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-13T23:03:27.269194
ChIJv4eW_HFclmsRe-jCAKgYc98,Century 21 The Garden City,"16 Clifford St, Toowoomba City QLD 4350, Australia",(07) 4633 8899,https://toowoomba.century21.com.au/,hellotoowoomba@century21.com.au,Point Of Interest,4.2,172,-27.561753,151.9474295,2026-02-13T23:03:27.692141
ChIJO7K5M3lclmsRaoyGFUZKCWM,York Realty,"346 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4613 6777,http://www.yorkrealty.com.au/,nathan@yorkrealty.com.au,Real Estate Agency,4.4,72,-27.55826,151.954018,2026-02-13T23:03:28.050033
ChIJGTSjCm9clmsR06n54AW7kJY,Residence Estate Agents,"123 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4646 2517,https://residenceestateagents.com.au/,,Real Estate Agency,4.9,37,-27.5612586,151.9574916,2026-02-13T23:03:28.860671
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,j.bloggs@gmail.com,Real Estate Agency,4.6,396,-27.5646611,151.9532952,2026-02-13T23:03:29.768847
ChIJtcODpK9dlmsRiK308n1ZVso,Reilly Real Estate,"Southtown Shopping Centre, Shop 2A, 148 South St, Centenary Heights QLD 4350, Australia",(07) 4602 9976,https://www.reillyre.com.au/,a@click.prevent,Real Estate Agency,5,59,-27.5804954,151.9639636,2026-02-13T23:03:30.130570
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,225,-27.5684453,151.9568984,2026-02-13T23:03:30.472157
ChIJ2cxBMWpclmsRl47zga9Pg_M,Tomoro,"353 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4580 0811,https://tomoro.com.au/,shauna@tomoro.com.au,Real Estate Agency,4.5,97,-27.5592421,151.9534953,2026-02-13T23:03:30.843801
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-13T23:03:31.705012
ChIJFdvas2tclmsRao-OTfhCf2o,iThink Property Toowoomba Real Estate Agents,"482-486 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4602 0111,http://ithinkproperty.com.au/,mark.costello@ithinkproperty.com.au,Real Estate Agency,4.4,150,-27.5622671,151.9533267,2026-02-13T23:03:32.056443
ChIJjZGTYhRclmsRx2ooACerYZQ,Webster Cavanagh Marsden,"141 Russell St, Toowoomba City QLD 4350, Australia",(07) 4632 8022,https://www.webstercavanagh.com.au/,sarah@wcproperty.com.au,Real Estate Agency,4.3,78,-27.557612,151.9452342,2026-02-13T23:03:32.411968
ChIJA6GVD1aAEUcRs612xiMhUdg,Murphy McKellar + Co,"17 Campbell St, East Toowoomba QLD 4350, Australia",(07) 4542 7860,http://www.mmco.au/,stacey@mmco.au,Real Estate Agency,5,86,-27.5575757,151.9715565,2026-02-13T23:03:34.673171
ChIJEbWd2WxclmsRmLnGQJBUzkQ,REMAX Success,"111 Herries St, East Toowoomba QLD 4350, Australia",(07) 4638 6100,https://remaxsuccess.com.au/,service@remaxsuccess.com.au,Real Estate Agency,4.7,1416,-27.5654042,151.9582504,2026-02-13T23:03:35.497092
ChIJ_5tpKMldlmsRFqZzJsn-0xU,Andrew Lynch - Toowoomba Property,"611 Ruthven St, Toowoomba City QLD 4350, Australia",0418 795 792,http://www.toowoombaproperty.au/pages/real-estate/agent/24354/andrew-lynch,,Point Of Interest,5,6,-27.5672655,151.9520488,2026-02-13T23:03:35.897108
ChIJncYaYU-z72IRkZsTqDBQte8,Jenkins Real Estate,"561 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4588 8849,http://www.jenkinsrealestate.com.au/,sally@jenkinsre.com.au,Real Estate Agency,5,13,-27.5653324,151.9523323,2026-02-13T23:03:38.522925
ChIJOSrLa2pclmsRYEUrdAvBf7U,Crestmont Realty Group,"7/190 Margaret St, Toowoomba City QLD 4350, Australia",0455 150 990,http://www.crestmont.com.au/,paul@crestmont.com.au,Finance,5,2,-27.5612436,151.9540764,2026-02-13T23:03:38.896817
ChIJn_JCJKNdlmsRBdjEC3iuM1A,Jane & Henry Pty Ltd,"18 Harvey St, Mount Lofty QLD 4350, Australia",(07) 4600 1210,http://www.janeandhenry.com/,,Real Estate Agency,5,67,-27.5428502,151.9781434,2026-02-13T23:03:39.255293
ChIJEdq53WxclmsRVYRyRKsu1dg,The Agency | Toowoomba,"196 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4616 9900,https://theagency.com.au/market-appraisal?utm_source=Google&utm_medium=Organic&utm_campaign=GMB&utm_term=Toowoomba,rbov@conjunction.agency,Real Estate Agency,4.7,345,-27.5612571,151.9539394,2026-02-13T23:03:39.612736
ChIJK_hOfVpdlmsR-Eycl4NyGjw,McGrath Estate Agents Toowoomba,"Suite 1/203 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4599 3599,https://mcgrathtoowoomba.com.au/,mcgrathtooowoomba@mcgrath.com.au,Real Estate Agency,5,13,-27.5609364,151.9545238,2026-02-13T23:03:47.099458
ChIJObr_X-ldlmsRtdEFjT6UImM,Jen Taylor Properties,"76A Margaret St, East Toowoomba QLD 4350, Australia",(07) 4548 0433,http://www.jentaylorproperties.com.au/,,Point Of Interest,4.8,49,-27.5627387,151.9643687,2026-02-13T23:03:47.960075
ChIJH3uDe5FblmsRWfI2L7BfFY8,Sovereign Property Partners,"94 Neil St, Toowoomba City QLD 4350, Australia",(07) 4687 7601,http://spp.net.au/,roz@spp.net.au,Point Of Interest,4.2,216,-27.5677419,151.9546565,2026-02-13T23:03:48.778439
ChIJs5GeyGpclmsRiH8mzzJ3Nbw,Colliers Toowoomba,"171 Hume St, Toowoomba City QLD 4350, Australia",(07) 4659 7875,http://www.colliers.com.au/offices/toowoomba,,Real Estate Agency,4.5,201,-27.5640841,151.9570588,2026-02-13T23:03:49.197060
ChIJp-XsggBclmsR0EHaEoBP3EI,Ray White Highfields Real Estate | Property Sales | Selling All Areas,"Shopping Centre, Shop 7b/66 Highfields Rd, Highfields QLD 4352, Australia",(07) 4698 7711,http://raywhitehighfields.com.au/,brett.richards@raywhite.com,Real Estate Agency,4.3,86,-27.4505791,151.9447885,2026-02-13T23:04:06.303757
ChIJl4PhziRnlmsR-V3MzcNBHGk,Benita McMahon - Toowoomba/Highfields Real Estate Agent,"Shop 1/2 Highfields Rd, Highfields QLD 4352, Australia",0427 306 970,https://www.facebook.com/benitamcmahonrealestate/,,Real Estate Agency,5,11,-27.4633855,151.9539012,2026-02-13T23:04:08.926389
ChIJ54uRWgNnlmsRZ_Pe9xN1-PM,Jess Jones Real Estate,"Shop E/1 Plaza Cir, Highfields QLD 4352, Australia",0432 222 310,https://www.jessjonesrealestate.com.au/,jess@jessjonesrealestate.com.au,Real Estate Agency,4.9,93,-27.4586163,151.9585719,2026-02-13T23:04:09.742783
ChIJmVHIMwpnlmsRxmeT7HFf-H0,Leigh Harriman York Realty,"1 Highfields Rd, Highfields QLD 4352, Australia",0448 153 771,https://www.yorkrealty.com.au/staff/2161/,nathan@yorkrealty.com.au,Real Estate Agency,5,2,-27.4639196,151.9532609,2026-02-13T23:04:10.164149
ChIJF9SNWvJdlmsRqmj2xulDrA4,Paddy Ryan - NGU Real Estate Toowoomba,"1/20 Seaton St, South Toowoomba QLD 4350, Australia",0428 795 535,https://www.ngurealestate.com.au/staff/paddy-ryan/,bella.yang@ngurealestate.com.au,Real Estate Agency,4.8,16,-27.5724019,151.962843,2026-02-13T23:04:14.034984
ChIJTSeiLBJnlmsRmbQse1rnFHc,Hilltop Real Estate,"10570 New England Hwy, Highfields QLD 4352, Australia",0408 987 715,,,Real Estate Agency,2,4,-27.4672766,151.9491862,2026-02-13T23:04:14.839393
ChIJ4TYSaRdnlmsRPp5VAUdX6Ac,WIRE Property Agents,"2 Highfields Rd, Highfields QLD 4352, Australia",(07) 4698 7111,https://wireproperty.com.au/,nick.mcmahon@wireproperty.com.au,Real Estate Agency,4.3,46,-27.4634156,151.9538601,2026-02-13T23:04:15.217748
ChIJv4Ood4ZclmsRqGj_I_kD5t0,Jlc Real Estate,"Harristown QLD 4350, Australia",,,,Real Estate Agency,,,-27.5666776,151.9288715,2026-02-13T23:04:16.024434
ChIJ10unhKdblmsRCtbvNcEKRlE,Crest Realty,"10 Handley St, Darling Heights QLD 4350, Australia",(07) 4602 0244,,,Real Estate Agency,3.1,7,-27.6124865,151.9304808,2026-02-13T23:04:18.179093
ChIJxcgSvwfhSCsRTmNHeGkFe6s,Tony Franke | Real Estate Toowoomba & Highfields Region,"Shopping Centre, Shop 7b/66 Highfields Rd, Highfields QLD 4352, Australia",0410 540 005,https://tonyfranke.raywhite.com/,,Real Estate Agency,,,-27.4502911,151.9448402,2026-02-13T23:04:18.546743
ChIJxRVew3hblmsR4--PXufk1Z8,Home Property Sales,"24 Stark Dr, Vale View QLD 4352, Australia",0417 727 680,,,Real Estate Agency,,,-27.6437963,151.8927568,2026-02-13T23:04:20.120958
ChIJPZmWfmNdlmsRhI9yCpSmazA,Drew Camm Commercial Pty Ltd,"3 Lucinda Ave, Highfields QLD 4352, Australia",0432 055 250,http://www.dccommercial.com.au/,drew@dccommercial.com.au,Real Estate Agency,5,20,-27.4652151,151.9481158,2026-02-13T23:04:25.364113
ChIJiXSoqildlmsRZgyMH-BRU5M,House Estate Agents Toowoomba,"444 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4595 1688,,,Real Estate Agency,4.3,52,-27.5608264,151.9536099,2026-02-13T23:04:33.683528
ChIJKw0wWzBclmsRZ5j_dRXj0JI,Leanne Gillam Real Estate,"38 Windemere Terrace, Mount Lofty QLD 4350, Australia",0400 968 319,http://www.leannegillam.com.au/,info@leannegillam.com,Real Estate Agency,5,28,-27.5431035,151.9727458,2026-02-13T23:04:46.425221
ChIJUyTJ-mVclmsRYk3GlgG_Pe8,Hot Property,"Suite 2/200 Hume St, East Toowoomba QLD 4350, Australia",(07) 4637 8633,https://www.hotproperty.realestate/,hello@hotproperty.realestate,Real Estate Agency,4.8,398,-27.5678713,151.9570664,2026-02-13T23:05:12.646481
ChIJ84dSM7xclmsRVQ7AV_HMPSE,Glenwood Heights,"South St & McDougall St, Toowoomba City QLD 4350, Australia",,,,Real Estate Agency,5,2,-27.5721148,151.9074228,2026-02-13T23:05:13.084321
ChIJBWyV0OtdlmsRy66IQcVPzkU,Wagner/De Silva - Toowoomba Real Estate Agents,"111 Herries St, East Toowoomba QLD 4350, Australia",0421 875 477,https://wagnerdesilva.com.au/,,Point Of Interest,5,1,-27.5652843,151.958292,2026-02-13T23:05:17.605695
ChIJtQ6SmNddlmsRqJG-E-o5D3U,Austin Brookman Property,"1/74 Margaret St, East Toowoomba QLD 4350, Australia",0474 119 232,https://austinbrookmanproperty.com.au/,,Point Of Interest,5,5,-27.5627534,151.9647425,2026-02-13T23:05:24.712514
ChIJ___bJHdblmsRt38ATQWztvI,Cooinda Properties Pty Ltd,"115 Drayton Rd, Harristown QLD 4350, Australia",,http://www.cooindaproperties.com.au/,,Real Estate Agency,5,1,-27.588624,151.929686,2026-02-13T23:05:25.591360
ChIJ_xqB_WVclmsRT--3TrjLNNQ,Blackbird and Finch,"6 Union St, Toowoomba City QLD 4350, Australia",(07) 4642 0007,https://blackbirdandfinch.com.au/,rentals@blackbirdandfinch.com.au,Real Estate Agency,4.2,106,-27.562865,151.9546165,2026-02-13T23:05:37.355189
ChIJAe9rPd9dlmsRyjeUNPQu_F8,Picket Fence Properties,"South St, Rangeville QLD 4350, Australia",(07) 4646 4911,https://www.picketfenceproperties.com.au/,bryan@picketfenceproperties.com.au,Real Estate Agency,4.9,30,-27.5818293,151.9755959,2026-02-13T23:05:44.552844
ChIJIxSCk1JdlmsRF8s56qWhy-8,Webster Cavanagh Rural,"141 Russell St, Toowoomba City QLD 4350, Australia",0428 517 996,https://www.webstercavanagh.com.au/,sarah@wcproperty.com.au,Real Estate Agency,4.7,22,-27.557612,151.9452342,2026-02-13T23:05:53.454827
ChIJP32F3DFdlmsRwJ76NzjbTkQ,Briq Property,"Suite 9/120 Russell St, Toowoomba City QLD 4350, Australia",(07) 4593 0088,http://www.briqproperty.com.au/,,Real Estate Agency,4.6,27,-27.558565,151.947428,2026-02-13T23:05:53.843127
ChIJz2jC58JdlmsRX0TMnZllzCw,Zing Property,"123 Margaret St, Toowoomba City QLD 4350, Australia",0408 083 808,https://www.zingproperty.com.au/,,Real Estate Agency,5,3,-27.5612586,151.9574916,2026-02-13T23:05:54.311502
ChIJa2e0WuxflmsRKu6wRfA5YAo,ALL About Realestate,"645 Toowoomba Connection Rd, Withcott QLD 4352, Australia",0408 108 785,http://www.allaboutre.com.au/,office@allaboutre.com.au,Real Estate Agency,1,1,-27.5540401,152.0241949,2026-02-13T23:06:28.156407
ChIJc0m3N2ZdlmsR0dw8dRqkS6I,Homesure Pty Ltd,"11 Coventry Ct, Mount Lofty QLD 4350, Australia",0408 661 454,,,Real Estate Agency,5,1,-27.5389285,151.9757773,2026-02-13T23:07:22.516161
ChIJ4bPD421clmsRmtEieet1iT4,First Choice Real Estate QLD,"3/648 Ruthven St, South Toowoomba QLD 4350, Australia",0432 426 414,,,Real Estate Agency,,,-27.5690528,151.9521688,2026-02-13T23:08:59.908828
ChIJ__9vweVclmsRu_FMuIc61sY,Ray White Toowoomba,"7A Paull St, Wilsonton QLD 4350, Australia",,,,Real Estate Agency,5,1,-27.5393887,151.9181298,2026-02-13T23:10:15.052210
