place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJS3duBppdlmsR4PPCYR3prZY,Toowoombabnb,"20 Jennings St, South Toowoomba QLD 4350, Australia",0424 996 540,,,Lodging,,,-27.5712294,151.9615729,2026-02-04T10:53:27.462907
ChIJxybD63ZplmsR9Tn33oLyJ64,Kiambram Country Cottages,"32 Sunrise Rd, Gowrie Little Plain QLD 4352, Australia",0428 617 188,https://www.kiambram.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=702724813273268374,,Lodging,4.9,57,-27.4425064,151.8589337,2026-02-04T10:53:28.723366
ChIJ2zRRg0RclmsRj9Z-KTJJV_k,Banksia Cottage,"5 Norwood St, Toowoomba City QLD 4350, Australia",0420 530 619,http://www.banksiacottage.com/,,Lodging,4.8,25,-27.5526623,151.9485184,2026-02-04T10:53:29.244952
ChIJGfOQphVclmsRkXpMg3tnMMQ,Bannockburn Lodge - Toowoomba Homestays,"11a Stirling St, East Toowoomba QLD 4350, Australia",0439 669 339,https://toowoombahomestays.com.au/,,Lodging,4.7,32,-27.5629358,151.9611945,2026-02-04T10:53:29.799861
ChIJ7z4RgH5dlmsR7WXoF0xuB74,Toowoomba Holiday Rentals - Sierra Cottage,"13 Kent St, East Toowoomba QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/properties/sierra-cottage/,,Lodging,5,7,-27.5630539,151.9642979,2026-02-04T10:53:30.269759
ChIJ01mv5ETnlmsRxA2Go9k7upo,"The Cabin, Ghost Gum Gully","239 Mulgowie Rd, Thornton QLD 4341, Australia",0488 148 662,https://www.google.com.au/url?sa=t&source=web&rct=j&opi=89978449&url=http://www.thecabin-ghostgumgully.com/&ved=2ahUKEwiF4YS61pKLAxVMS2cHHf9QF8wQFnoECBEQAQ&usg=AOvVaw3HDoyPWz-NvSGWMs2KjXxX,,Park,4.9,65,-27.8376068,152.3875488,2026-02-04T10:53:30.630341
ChIJ46pE8qFdlmsRO_qDaYNk5XM,The Church Guesthouse,"2b Allan St, North Toowoomba QLD 4350, Australia",0488 900 369,https://airbnb.com/h/thechurchguesthouse,,Lodging,5,1,-27.5467074,151.9578237,2026-02-04T10:53:31.016935
ChIJCdaoaMJdlmsRct9pWj3ivqQ,Toowoomba Holiday Rentals - Artist's Cottage,"18 Dunmore St, East Toowoomba QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/artists-cottage/,,Lodging,5,2,-27.5565572,151.9711732,2026-02-04T10:53:31.472952
ChIJaa7apvpdlmsRlX-ZhBMR_Mw,Toowoomba Homestays - Bannockburn Cottage,"4 Burstow St, East Toowoomba QLD 4350, Australia",0439 669 339,https://toowoombahomestays.com.au/,,Lodging,5,5,-27.5628248,151.9608531,2026-02-04T10:53:31.891233
ChIJD4eVX_ZdlmsRy7sCgFv7wTQ,Ambiente Cottage - Pet Friendly,"16 Stephen St, South Toowoomba QLD 4350, Australia",0406 779 601,https://www.ambientecottage.com/,,Lodging,4.9,19,-27.5739244,151.9520946,2026-02-04T10:53:32.384181
ChIJTSF-qRw7lGsRia5I1iPDj-8,Little Country Stays,"Ivory Creek Rd, Toogoolawah QLD 4313, Australia",,http://www.littlecountrystays.com/,,Lodging,5,31,-27.0591872,152.354044,2026-02-04T10:53:32.754686
ChIJPZweqnVnlmsRFnTpWIvA6Vs,Homewood Cottages,"11 Cawdor Rd, Highfields QLD 4352, Australia",0459 686 239,http://www.homewoodcottages.com.au/,,Lodging,4.8,61,-27.4719534,151.9386012,2026-02-04T10:53:33.120571
ChIJVVXJJZdnlmsR8g4EmR5K3Ak,Forest Lodge Highfields,"147 Cawdor Dr, Cawdor QLD 4352, Australia",0417 763 121,,,Lodging,4.9,9,-27.4705426,151.9201907,2026-02-04T10:53:37.976414
ChIJS6OaOIBblmsR6dlK6foCKBI,Annand Mews Serviced Apartments,"53 Drayton Rd, Harristown QLD 4350, Australia",(07) 4636 5368,http://www.annandmews.com.au/,,Lodging,4.6,13,-27.5791019,151.9361332,2026-02-04T10:53:38.350712
ChIJB0Wog66IlmsR8vZPwySAZwY,Hazelmont Cottage Bed & Breakfast,"3468 Esk Hampton Rd, Ravensbourne QLD 4352, Australia",0491 172 894,http://www.hazelmontcottage.com.au/,,Lodging,4.8,26,-27.3751403,152.1617858,2026-02-04T10:53:48.656997
ChIJ_51yCOGll2sRrMkZh1MmNK8,Roseneath Cottage-Bed & Breakfast,"62 Warwick St, Allora QLD 4362, Australia",0438 173 926,http://roseneathcottage.com.au/,,Lodging,4.8,10,-28.0347552,151.9783889,2026-02-04T10:53:54.060740
ChIJDccnpFdXlmsRc3TbZMmgw3s,ecoRidge Hideaway,"712 Rockmount Rd, Preston QLD 4352, Australia",0409 037 335,http://www.ecoridgehideaway.com.au/,,Lodging,4.9,37,-27.6786702,151.9905757,2026-02-04T10:53:54.433061
ChIJsSu-1BNdlmsRiCwdV_S5b5Y,The Arbour Boutique Apartments,"27 Scott St, East Toowoomba QLD 4350, Australia",(07) 4580 1432,https://arbourapartments.com.au/,,Lodging,4.8,49,-27.5653748,151.9714016,2026-02-04T10:53:54.936861
ChIJ3YE8HKRblmsR6xFqOyuvKkY,Tree House Toowoomba,"11 Dippel St, Middle Ridge QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/tree-house-toowoomba/,,Lodging,,,-27.6155344,151.9630311,2026-02-04T10:53:55.456520
ChIJq6rG_gJclmsRzYayJwlgxoY,Picnic Point Villas,"109 Tourist Rd, Rangeville QLD 4350, Australia",,,,Lodging,4.8,16,-27.5781662,151.9789328,2026-02-04T10:54:07.312399
ChIJpfBVrxMfl2sR1t1t0_YIfUw,Tarowood Cottage,"Ryan Rd, Tarome QLD 4309, Australia",,https://www.tarowoodcottage.com/,,Lodging,4.8,8,-27.9991429,152.4236146,2026-02-04T10:54:50.648462
ChIJ05eyR8_flmsRtcKRQAjjtFU,Barakee Homestead,"236 Hayes Rd, Rosevale QLD 4340, Australia",,https://barakeehomestead.godaddysites.com/,,Lodging,5,3,-27.8958701,152.5536426,2026-02-04T10:55:03.096168
ChIJITm0e6jblmsROhSJk9m318U,Scenic Rim View Cottages,"357 Old Rosevale Rd, Warrill View QLD 4307, Australia",(07) 5464 6508,http://scenicrimviewcottages.com.au/,,Lodging,4.4,14,-27.8487259,152.5799013,2026-02-04T10:55:15.850329
ChIJ5bCWNUCJlmsRuat8ajQPUiw,Fruit Dove Cottage,"Church House Rd, Perseverance QLD 4352, Australia",0418 701 940,https://www.fruitdovecottage.com.au/,,Lodging,5,2,-27.379461,152.1086051,2026-02-04T10:55:16.183837
ChIJW7WfVW1clmsRDgKslomPHuI,Toowoomba Accommodation,"UNIT 1/53 Drayton Rd, Harristown QLD 4350, Australia",(07) 4636 5368,https://sites.google.com/view/toowoomba-accommodation-4350/home,,Lodging,4.4,11,-27.5791019,151.9361332,2026-02-04T10:55:31.033340
ChIJobcXx3hclmsR0rx7KqQvLeo,Ruthmor Villas,"759/761 Ruthven St, South Toowoomba QLD 4350, Australia",0437 727 755,http://www.ruthmorvillas.com/,,Lodging,4.9,18,-27.580872,151.9496272,2026-02-04T10:55:31.396941
ChIJFdn8k5ZdlmsR_SLf6TIeOek,Frangipani House,"78 Mary St, East Toowoomba QLD 4350, Australia",0484 009 608,https://toowoombaholidayrentals.com.au/frangipani-house/,,Lodging,4.5,10,-27.5547829,151.9676186,2026-02-04T10:55:31.904283
ChIJI16Y7RtRlmsRlL5xdUG4n1o,Mountview Homestead,"164 Ramsay Rd, Ramsay QLD 4358, Australia",0438 113 627,http://www.mountviewhomestead.com.au/,,Lodging,4.9,81,-27.7211991,151.9278065,2026-02-04T10:55:32.272252
ChIJP1Lg76VdlmsRQDxM0aaHUdc,Nell's Place - Short Term Accommodation,"133 Russell St, Toowoomba City QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/nells-place/,,Lodging,5,9,-27.557905,151.9471467,2026-02-04T10:55:32.653084
ChIJxaWcRVldlmsRJ15nobQ30o4,Hollow Tree Farm,"2A Rifle Range Rd, Mount Lofty QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/hollow-tree-farm/,,Lodging,5,1,-27.5399604,151.9706446,2026-02-04T10:55:33.104368
ChIJccr82mNclmsRl6uo03rPq0k,THE Blue House B&B,"253 Herries St, Newtown QLD 4350, Australia",(07) 4639 1943,,,Lodging,5,1,-27.5623382,151.9382843,2026-02-04T10:55:36.964047
ChIJNZ3x2u9clmsRyEaBSbXxOzg,Altitude Motel Apartments,"366 Bridge St, Toowoomba City QLD 4350, Australia",(07) 4633 7000,http://www.altitudemotel.com.au/,,Lodging,4.8,151,-27.543708,151.922265,2026-02-04T10:55:37.519453
ChIJPaO3chpdlmsRtcdvYKnEYgk,GreatDayStay,"18 Taylor St, Toowoomba City QLD 4350, Australia",0423 863 606,,,Lodging,1,1,-27.5561571,151.9452861,2026-02-04T10:55:37.878853
ChIJfzCqFwdclmsRj8SE57Ae_Ms,"Rangehouse, Toowoomba","38 Marshall St, Rangeville QLD 4350, Australia",0418 727 194,,,Lodging,3.3,3,-27.5832777,151.9739251,2026-02-04T10:55:38.248532
ChIJQeMCAQBdlmsR9gLX1-TGrII,Toowoomba,"Toowoomba City QLD 4350, Australia",,,,Lodging,5,1,-27.5598212,151.9506696,2026-02-04T10:55:38.721006
ChIJU53sI0hdlmsRieXqcrRTegw,Bluestone Cottages - The Villa,"11A Gowrie St, Toowoomba City QLD 4350, Australia",0484 009 608,https://www.toowoombaholidayrentals.com.au/bluestone-villa/,,Lodging,5,7,-27.552955,151.9485729,2026-02-04T10:55:43.067172
ChIJOcLC8ypdlmsR_oV4d1_u40A,Hedge House,"38 Bridge St, East Toowoomba QLD 4350, Australia",0484 009 608,http://www.toowoombaholidayrentals.com.au/hedge-house,,Lodging,5,8,-27.5544489,151.9731731,2026-02-04T10:55:43.464733
ChIJEX78AatblmsR22rb6GPfLXg,Mirambeena Retreat (Bed and Breakfast),"261 Kearney St, Toowoomba City QLD 4350, Australia",0411 323 177,http://www.mirambeenaretreat.com.au/,,Lodging,4.9,8,-27.6219762,151.9360487,2026-02-04T10:55:43.979750
