place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJVVUxgA1blmsRNUjc-tPfXdw,Voltforce Electrical Solar Air Conditioning,"9 Dexter St, South Toowoomba QLD 4350, Australia",0417 275 723,https://voltforce.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Electrician,5,229,-27.56994,151.9501883,2026-02-03T19:50:22.503855
ChIJa5z6th41lmsRvNBL_yfi0wQ,Tmec Queensland,"Ruthven St, Toowoomba City QLD 4350, Australia",1300 584 188,,,Electrician,5,14,-27.5596978,151.9534589,2026-02-03T19:50:23.024485
ChIJ3QPzvuXjzkkRWK3yDOAncfI,Wiltec Electrical,"11 Mansford St, North Toowoomba QLD 4350, Australia",0447 819 166,https://www.wiltecelectrical.com.au/,,Electrician,5,30,-27.5433705,151.9564739,2026-02-03T19:50:23.393190
ChIJ519l0wldlmsRsZ8Oer6KmGI,Level Electrical Toowoomba,"Shed 3/18 Rocla Ct, Glenvale QLD 4350, Australia",(07) 4634 4777,https://levelau.com.au/electrician-toowoomba/,,Electrician,5,7,-27.5544953,151.9096431,2026-02-03T19:50:23.889919
ChIJO5JbMrLGFiYRtcWo9j0Pngw,Impact Electricians,"15 Anthony St, Toowoomba City QLD 4350, Australia",0409 262 543,http://www.impactqld.com.au/,,Electrician,4.9,25,-27.5562775,151.9568256,2026-02-03T19:50:24.418150
ChIJV4dtTctElmsRMLF20ryhEcI,Westbrook Electrical,"1090 Boundary St S, Westbrook QLD 4350, Australia",0409 915 230,,,Electrician,4.8,4,-27.592692,151.887595,2026-02-03T19:50:24.913328
ChIJAR0NPaBblmsRo-TnFG8pVq8,Express Electrical,"673 West St, Darling Heights QLD 4350, Australia",0488 484 141,https://www.expresselectrical.net.au/,,Electrician,4.9,103,-27.6164088,151.9275345,2026-02-03T19:50:25.328747
ChIJVdxAQF5clmsRVUYPKi_xr6I,ST8 WIDE ELECTRICAL Toowoomba,"27 Boothby St, Drayton QLD 4350, Australia",(07) 4634 0882,https://st8wideelectrical.com.au/,,Electrician,4.9,29,-27.5917864,151.9152805,2026-02-03T19:50:26.347796
ChIJewJ4LnHIoU8R2sMaubMthQ4,Integrated Services QLD,"Unit 3/159-161 McDougall St, Wilsonton QLD 4350, Australia",(07) 4634 6328,http://www.integratedservicesqld.com/,,Electrician,4.9,55,-27.5433817,151.9100615,2026-02-03T19:50:26.894431
ChIJPyW-2OpclmsRPOqAm1r5-aY,Paul Wiedman Electrical,"Unit 10/189 Anzac Ave, Harristown QLD 4350, Australia",(07) 4633 7766,https://www.wiedmanelectrical.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Electrician,5,22,-27.574193,151.927297,2026-02-03T19:50:27.405671
