place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJpZw_MwBflmsRls-cQV5fxlc,Bones And Nikki’s Tuckerbox,"shop 16/656 Toowoomba Connection Rd, Withcott QLD 4352, Australia",(07) 4659 8691,https://www.bonesandnikkistuckerbox.com.au/,,Cafe,5,13,-27.5531915,152.0224526,2026-02-07T11:36:32.238641
ChIJQ1Iu71dblmsRaY65RV2cKhc,Flaming Knights,"32 Brisbane St, Drayton QLD 4350, Australia",(07) 4696 8498,http://www.flamingknights.com.au/,,Restaurant,4.7,229,-27.6002985,151.9154219,2026-02-07T11:36:32.764128
ChIJPWvEJpBblmsRZNQJ71OLZgI,Fire & Ice,"839 Ruthven St, Kearneys Spring QLD 4350, Australia",1800 008 269,,,Restaurant,4.2,395,-27.5909826,151.9478215,2026-02-07T11:36:33.241874
ChIJrf78j2BblmsR1YnDup1XxUY,JJ's kitchen Toowoomba,"Toowoomba Plaza, Shop 21A/878 Ruthven St, Kearneys Spring QLD 4350, Australia",0431 401 046,,,Restaurant,4.6,89,-27.5943195,151.948634,2026-02-07T11:36:33.604898
ChIJwduKpOdblmsRADYujJPpRqU,Ridges Bar & Bistro,"235-323 Rowbotham St, Toowoomba City QLD 4350, Australia",(07) 4635 1219,https://www.toowoombagolfclub.com.au/bistro/,proshop@toowoombagolfclub.com.au,Restaurant,4.2,38,-27.6023137,151.9766693,2026-02-07T11:36:33.972848
ChIJlcDlFOVdlmsR3ZMTACtT2m4,Zack's,"554 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4632 2433,https://burkeandwillshotel.com.au/zacks/,bw.reception@hgroup.com.au,Bar,4.4,524,-27.5640604,151.9530051,2026-02-07T11:36:34.330440
ChIJ_ag4bmxblmsRwy3EYVb0mt8,The Terrace,"839 Ruthven St, Kearneys Spring QLD 4350, Australia",(07) 4635 3311,https://www.southernhotel.net/the-terrace,,Bar,4,4,-27.5908938,151.9478183,2026-02-07T11:36:34.972741
ChIJr2JxJuhdlmsRJTXg0DH6k0g,Char House Restaurant,"Shop 1/224 Ruthven St, North Toowoomba QLD 4350, Australia",(07) 4637 1010,http://www.charhouse.com.au/,,Restaurant,4.4,564,-27.5503557,151.9554562,2026-02-07T11:36:35.361512
ChIJyTlVi2pclmsRZuALqAhZ6nM,Stonegrill Dining,"169 Margaret St, Toowoomba City QLD 4350, Australia",,,,Restaurant,4,4,-27.5611343,151.9553852,2026-02-07T11:36:35.724768
ChIJexT-pyVnlmsRg98_XlX2u6g,New Lily's Restaurant at Highfields,"10552 New England Hwy, Highfields QLD 4352, Australia",0476 100 136,,,Restaurant,4.7,53,-27.465901,151.9505254,2026-02-07T11:36:38.148145
ChIJF7rcXIFdlmsRO3L_Tgm7xz8,Soul Kitchen co,"The Foundry, 259 Ruthven St, Toowoomba City QLD 4350, Australia",0423 872 832,https://instagram.com/soul_kitchen_co?igshid=YmMyMTA2M2Y=,,Cafe,5,21,-27.5538983,151.95371,2026-02-07T11:36:38.537274
ChIJCSSVZBBclmsRMGSMfAhXmEA,Clifford Carvery,"100/124 Anzac Ave, Newtown QLD 4350, Australia",(07) 4634 6854,,,Meal Takeaway,3.5,55,-27.564654,151.9321046,2026-02-07T11:36:39.162549
ChIJcfGS3jRPlmsRj8b9wAs8jmA,Toowoomba Wood Fired Pizza,"12 Fairfax St, Cambooya QLD 4358, Australia",0415 357 647,https://www.toowoombawoodfiredpizza.com.au/,,Point Of Interest,5,51,-27.7123817,151.8677766,2026-02-07T11:36:43.547429
ChIJz8xPkFddlmsRjS6pWkUz_0M,Pop Up HQ - Pop Up Chef Food Services,"347 Taylor St, Wilsonton QLD 4350, Australia",(07) 4633 1442,http://popupchef.com.au/,13e49d785d8d4f828038b6136f3b48ba@sentry.io,Cafe,4.7,96,-27.550725,151.909313,2026-02-07T11:36:43.914536
